"날짜","현재가","오픈","고가","저가","거래량","변동 %"
"2019년 12월 12일","145.03","143.51","145.82","140.00","12.23M","1.06%"
"2019년 12월 11일","143.51","145.88","146.57","142.53","10.93M","-1.61%"
"2019년 12월 10일","145.86","147.88","148.48","144.49","11.12M","-1.37%"
"2019년 12월 09일","147.88","151.17","151.75","147.02","9.67M","-2.18%"
"2019년 12월 08일","151.17","148.25","152.22","147.09","9.28M","1.95%"
"2019년 12월 07일","148.28","148.88","149.76","147.54","8.11M","-0.41%"
"2019년 12월 06일","148.89","148.70","149.36","147.01","8.77M","0.13%"
"2019년 12월 05일","148.69","145.79","149.08","144.64","9.99M","1.99%"
"2019년 12월 04일","145.79","147.81","151.02","143.95","12.85M","-1.37%"
"2019년 12월 03일","147.82","148.89","149.84","146.56","8.73M","-0.72%"
"2019년 12월 02일","148.89","151.06","151.63","147.49","9.18M","-1.43%"
"2019년 12월 01일","151.04","151.93","152.33","146.26","9.91M","-0.60%"
"2019년 11월 30일","151.95","154.57","155.19","150.45","8.79M","-1.68%"
"2019년 11월 29일","154.55","151.07","157.27","150.64","10.49M","2.30%"
"2019년 11월 28일","151.07","152.71","154.68","149.71","9.66M","-1.07%"
"2019년 11월 27일","152.70","147.60","155.43","141.91","13.34M","3.44%"
"2019년 11월 26일","147.61","145.88","149.81","144.04","10.84M","1.17%"
"2019년 11월 25일","145.90","140.58","151.26","131.78","17.98M","3.72%"
"2019년 11월 24일","140.66","152.46","153.24","139.79","11.39M","-7.74%"
"2019년 11월 23일","152.46","149.79","154.25","146.60","11.84M","1.77%"
"2019년 11월 22일","149.80","161.46","163.06","139.13","21.12M","-7.22%"
"2019년 11월 21일","161.46","174.96","175.91","158.55","13.36M","-7.71%"
"2019년 11월 20일","174.96","176.09","177.42","173.99","8.39M","-0.64%"
"2019년 11월 19일","176.09","178.49","178.70","173.48","9.11M","-1.35%"
"2019년 11월 18일","178.50","184.19","184.33","176.08","9.57M","-3.09%"
"2019년 11월 17일","184.18","182.39","185.97","180.49","8.57M","0.97%"
"2019년 11월 16일","182.42","180.19","183.46","179.53","7.62M","1.24%"
"2019년 11월 15일","180.19","185.24","186.10","178.29","11.86M","-2.73%"
"2019년 11월 14일","185.25","188.36","188.91","183.96","9.57M","-1.65%"
"2019년 11월 13일","188.36","187.00","189.45","185.70","7.77M","0.73%"
"2019년 11월 12일","186.99","185.09","187.44","183.24","9.35M","1.03%"
"2019년 11월 11일","185.09","188.98","190.17","184.32","10.26M","-2.06%"
"2019년 11월 10일","188.99","184.96","191.28","183.55","10.95M","2.18%"
"2019년 11월 09일","184.96","184.02","185.73","182.86","8.31M","0.50%"
"2019년 11월 08일","184.03","186.95","188.35","181.83","11.71M","-1.56%"
"2019년 11월 07일","186.94","191.28","192.27","185.48","11.49M","-2.27%"
"2019년 11월 06일","191.28","188.66","194.11","188.13","11.72M","1.38%"
"2019년 11월 05일","188.67","185.86","191.45","183.12","11.78M","1.51%"
"2019년 11월 04일","185.85","181.72","188.27","180.69","11.89M","2.29%"
"2019년 11월 03일","181.70","183.01","184.51","179.46","10.41M","-0.72%"
"2019년 11월 02일","183.01","183.12","185.18","181.94","8.71M","-0.06%"
